job_year,job_education
755,1年经验,本科
756,5-7年经验,本科
757,1年经验,本科
758,无需经验,本科
759,3-4年经验,本科
760,2年经验,大专
761,在校生/应届生,本科
762,2年经验,本科
763,3-4年经验,本科
764,1年经验,大专
765,3-4年经验,硕士
766,无需经验,中专
767,无需经验,本科
768,1年经验,本科
769,5-7年经验,本科
770,1年经验,大专
771,2年经验,本科
772,5-7年经验,本科
773,在校生/应届生,大专
774,2年经验,本科
775,3-4年经验,本科
776,1年经验,大专
777,1年经验,本科
778,在校生/应届生,本科
779,在校生/应届生,大专
780,3-4年经验,本科
781,1年经验,大专
782,3-4年经验,大专
783,5-7年经验,本科
784,3-4年经验,本科
785,2年经验,本科
786,1年经验,本科
787,3-4年经验,本科
788,2年经验,大专
789,2年经验,中专
790,3-4年经验,本科
791,3-4年经验,本科
792,1年经验,本科
793,3-4年经验,大专
794,3-4年经验,本科
795,1年经验,大专
796,1年经验,大专
797,3-4年经验,本科
798,在校生/应届生,大专
799,2年经验,本科
800,2年经验,本科
801,3-4年经验,本科
802,2年经验,大专
803,2年经验,本科
804,3-4年经验,大专
805,在校生/应届生,大专
806,5-7年经验,本科
807,1年经验,大专
808,无需经验,大专
809,2年经验,本科
810,1年经验,本科
811,5-7年经验,本科
812,3-4年经验,本科
813,2年经验,大专
814,1年经验,本科
815,1年经验,本科
816,在校生/应届生,本科
817,3-4年经验,大专
818,无需经验,本科
819,2年经验,本科
820,3-4年经验,本科
821,2年经验,无学历要求
822,1年经验,中专
823,1年经验,本科
824,2年经验,大专
825,1年经验,硕士
826,大专,无学历要求
827,2年经验,本科
828,本科,无学历要求
829,在校生/应届生,中专
830,在校生/应届生,大专
831,大专,无学历要求
832,本科,无学历要求
833,2年经验,本科
834,1年经验,中专
835,1年经验,本科
836,3-4年经验,本科
837,3-4年经验,本科
838,在校生/应届生,本科
839,2年经验,本科
840,3-4年经验,本科
841,3-4年经验,本科
842,在校生/应届生,本科
843,2年经验,大专
844,3-4年经验,本科
845,1年经验,大专
846,3-4年经验,本科
847,在校生/应届生,大专
848,大专,无学历要求
849,大专,无学历要求
850,2年经验,本科
851,1年经验,大专
852,3-4年经验,本科
853,在校生/应届生,大专
854,在校生/应届生,硕士
855,2年经验,本科
856,3-4年经验,本科
857,2年经验,本科
858,在校生/应届生,本科
859,1年经验,大专
860,3-4年经验,本科
861,2年经验,本科
862,2年经验,大专
863,3-4年经验,大专
864,本科,无学历要求
865,2年经验,大专
866,1年经验,中专
867,在校生/应届生,本科
868,1年经验,大专
869,3-4年经验,大专
870,2年经验,本科
871,3-4年经验,本科
872,1年经验,本科
873,3-4年经验,本科
874,2年经验,本科
875,1年经验,本科
876,3-4年经验,本科
877,在校生/应届生,中专
878,3-4年经验,本科
879,2年经验,本科
880,在校生/应届生,大专
881,无需经验,本科
882,1年经验,本科
883,1年经验,大专
884,2年经验,本科
885,1年经验,大专
886,2年经验,大专
887,3-4年经验,大专
888,1年经验,大专
889,在校生/应届生,无学历要求
890,大专,招2人
891,8-9年经验,本科
892,1年经验,大专
893,无需经验,大专
894,3-4年经验,本科
895,2年经验,大专
896,1年经验,中专
897,无需经验,无学历要求
898,在校生/应届生,高中
899,2年经验,大专
900,无需经验,大专
901,1年经验,大专
902,1年经验,中专
903,1年经验,大专
904,3-4年经验,本科
905,本科,无学历要求
906,5-7年经验,本科
907,博士,无学历要求
908,1年经验,本科
909,5-7年经验,本科
910,无需经验,大专
911,2年经验,本科
912,3-4年经验,本科
913,5-7年经验,硕士
914,3-4年经验,本科
915,无需经验,大专
916,在校生/应届生,本科
917,无需经验,大专
918,无需经验,中专
919,2年经验,大专
920,3-4年经验,本科
921,1年经验,大专
922,2年经验,大专
923,1年经验,本科
924,2年经验,本科
925,5-7年经验,本科
926,8-9年经验,本科
927,1年经验,大专
928,2年经验,本科
929,2年经验,大专
930,5-7年经验,本科
931,1年经验,大专
932,2年经验,本科
933,在校生/应届生,本科
934,3-4年经验,本科
935,1年经验,本科
936,2年经验,大专
937,在校生/应届生,大专
938,5-7年经验,大专
939,3-4年经验,大专
940,3-4年经验,本科
941,3-4年经验,大专
942,3-4年经验,本科
943,无需经验,本科
944,5-7年经验,大专
945,2年经验,本科
946,2年经验,本科
